Row ID,K2 Name,K2 ID,Alt Name,RA (J2000),Dec (J2000),Disc Method,Number of Planets,Planet Radius,Planet Radius Limit Flag,Semi-Major Axis,Semi-Major Axis Flag,Orbital Eccentricity,Orbital Eccentricity Limit Flag, Orbital Inclination,Orbital Inclination Limit Flag,Planet Mass,Planet mass Limit Flag,Planet Density,Planet Density Limit Flag,Period,Period Limit Flag,Stellar Mass,Stellar Mass Limit Flag,Stellar Radius,Stellar Radius Limit Flag,Stellar Distance,Stellar  Distance limit Flag,Stellar Optical mag,Stellar Optical mag Limit Flag,Optical Mag Band Name,Stellar Teff, Stellar Teff Limit Flag,# of Planet Notes,Last Update,Gaia gmag,Kepmag,K2 Campaign
integer,string,integer,string,ra,dec,string,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,float,float,integer,float,integer,float,integer,string,integer,integer,integer,string,float,float,string
151,K2-209 b,220241529,K2-209 b,00 58 45.763,+01 23 01.72,Transit,1,0.077,0,,,,,86.231,0,,,,,2.081,0,0.740,0.000,0.710,0,,,11.205,0,V (Johnson),4720,0,0,2018-02-15,,10.717,8
152,K2-210 b,220250254,K2-210 b,01 10 33.825,+01 34 41.76,Transit,1,0.073,0,,,,,84.105,0,,,,,0.570,0,0.910,0.000,0.850,0,,,11.535,0,V (Johnson),5396,0,0,2018-02-15,,11.507,8
153,K2-211 b,220256496,K2-211 b,01 24 25.429,+01 42 17.83,Transit,1,0.123,0,,,,,81.569,0,,,,,0.670,0,0.880,0.000,0.820,0,,,13.075,0,V (Johnson),5221,0,0,2018-02-15,,12.872,8
154,K2-212 b,220321605,K2-212 b,01 13 41.618,+03 05 48.97,Transit,1,0.213,0,,,,,89.191,0,,,,,9.795,0,0.620,0.000,0.600,0,,,13.100,0,V (Johnson),4349,0,0,2018-02-15,,12.588,8
155,K2-213 b,220341183,K2-213 b,00 52 33.673,+03 30 27.74,Transit,1,0.135,0,,,,,87.862,0,,,,,8.131,0,1.070,0.000,1.200,0,,,11.803,0,V (Johnson),5794,0,0,2018-02-15,,12.043,8
156,K2-214 b,220376054,K2-214 b,00 59 30.258,+04 13 40.07,Transit,1,0.198,0,,,,,88.145,0,,,,,8.597,0,1.020,0.000,1.120,0,,,11.805,0,V (Johnson),5768,0,0,2018-02-15,,11.597,8
157,K2-215 b,220471666,K2-215 b,01 13 52.821,+06 07 26.05,Transit,1,0.189,0,,,,,88.984,0,,,,,8.270,0,1.000,0.000,0.970,0,,,12.986,0,V (Johnson),5704,0,0,2018-02-15,,12.798,8
158,K2-216 b,220481411,K2-216 b,00 45 55.260,+06 20 49.10,Transit,1,0.150,0,,,,,87.007,0,,,,,2.175,0,0.700,0.000,0.670,0,,,12.476,0,V (Johnson),4591,0,0,2018-02-15,,12.100,8
159,K2-217 b,220487418,K2-217 b,00 45 11.614,+06 28 53.62,Transit,1,0.319,0,,,,,88.043,0,,,,,14.075,0,1.100,0.000,1.330,0,,,12.187,0,V (Johnson),5967,0,0,2018-02-15,,12.062,8
160,K2-218 b,220503236,K2-218 b,00 51 14.318,+06 50 47.26,Transit,1,0.229,0,,,,,88.453,0,,,,,8.680,0,1.050,0.000,1.010,0,,,12.876,0,V (Johnson),5757,0,0,2018-02-15,,12.713,8
